Index,Open,High,Low,Close,adj,Volume
2016-04-29,128.449997,129.710007,128.199997,129.380005,123.950798,7416300
2016-05-02,128.660004,128.899994,127.800003,127.82,122.702805,11035200
2016-05-03,129.550003,130.020004,129.350006,129.429993,124.248344,10736700
2016-05-04,129.679993,130.169998,129.190002,130.139999,124.929932,7211200
2016-05-05,130.059998,131.070007,129.699997,131.009995,125.765129,7870400
2016-05-06,130.850006,130.860001,130.289993,130.449997,125.227524,7232500
2016-05-09,130.460007,130.889999,130.320007,130.860001,125.621124,4950800
2016-05-10,130.850006,131.119995,130.649994,130.869995,125.630699,4325100
2016-05-11,130.830002,132,130.660004,131.610001,126.341072,9256000
2016-05-12,130.660004,131.169998,130.589996,131.009995,125.765129,6087400
2016-05-13,131.479996,132.320007,131.229996,132.279999,126.984253,8707300
2016-05-16,131.639999,131.660004,130.979996,131.139999,125.889915,5137000
2016-05-17,131.210007,131.830002,131.210007,131.360001,126.101097,4449100
2016-05-18,130.809998,130.850006,128.910004,129.490005,124.305984,12681000
2016-05-19,129.679993,130.330002,129.649994,130.050003,124.843544,6209400
2016-05-20,129.649994,130.399994,129.550003,130.149994,124.939537,5348900
2016-05-23,130.360001,130.729996,129.919998,130.440002,125.217934,6903200
2016-05-24,129.970001,130.190002,129.240005,129.860001,124.661148,5968200
2016-05-25,129.830002,130.25,129.309998,129.369995,124.19075,6367400
2016-05-26,129.809998,130.449997,129.800003,130.039993,124.833931,5327900
2016-05-27,130.070007,130.259995,129.699997,129.850006,124.651543,5267600
2016-05-31,129.020004,130.440002,128.979996,130.160004,124.949158,8344300
2016-06-01,130.630005,131.270004,130.110001,130.419998,125.456047,9874900
2016-06-02,130.899994,131.690002,130.869995,131.360001,126.360306,5835400
2016-06-03,132.860001,133.229996,132.600006,133.229996,128.159134,11077200
2016-06-06,132.779999,132.889999,132.100006,132.240005,127.206795,7573700
2016-06-07,132.639999,132.979996,132.539993,132.559998,127.514618,4680200
2016-06-08,132.869995,133.429993,132.710007,133.270004,128.197571,5313200
2016-06-09,134.320007,134.539993,133.929993,134.130005,129.024887,6820300
2016-06-10,134.789993,135.330002,134.259995,134.779999,129.650116,6984600
2016-06-13,135.089996,135.389999,134.770004,135.380005,130.22731,7688900
2016-06-14,136.190002,136.220001,135.220001,135.279999,130.131104,9012500
2016-06-15,135.520004,136.229996,135.309998,135.800003,130.631332,7953200
2016-06-16,136.740005,137.559998,136.179993,136.460007,131.266205,10372700
2016-06-17,136.199997,136.270004,135.259995,135.610001,130.448517,8489900
2016-06-20,134.240005,134.550003,134.009995,134.160004,129.053726,7365900
2016-06-21,134.289993,134.580002,133.460007,133.539993,128.457336,6005800
2016-06-22,133.5,133.990005,133.25,133.759995,128.668961,5773700
2016-06-23,132.610001,133.320007,132.080002,132.229996,127.197159,9029100
2016-06-24,136.610001,136.610001,135.300003,135.779999,130.61203,17155000
2016-06-27,138.440002,139.589996,138.399994,139.169998,133.873062,16577100
2016-06-28,139.440002,139.899994,138.880005,139.460007,134.151993,14006400
2016-06-29,139.679993,140.130005,138.259995,138.389999,133.122742,12999800
2016-06-30,138.809998,139.940002,138.089996,138.899994,133.613312,14698500
2016-07-01,140.809998,140.820007,139.190002,140.570007,135.468475,15430200
2016-07-05,141.850006,142.910004,141.699997,142.330002,137.164581,8840800
2016-07-06,142.789993,143,141.960007,142.559998,137.38623,14352800
2016-07-07,142.089996,143.190002,141.779999,142.550003,137.376587,8601000
2016-07-08,142.919998,143.619995,142.360001,143.600006,138.388489,10355300
2016-07-11,143.050003,143.470001,142.240005,142.339996,137.174225,8099000
2016-07-12,140.419998,140.860001,139.639999,140,134.919128,15810600
2016-07-13,141.369995,141.770004,140.949997,141.649994,136.509277,8181700
2016-07-14,139.279999,139.839996,139.089996,139.589996,134.523987,10817000
2016-07-15,138.889999,139.110001,138.179993,138.389999,133.367569,9958600
2016-07-18,139.070007,139.259995,137.729996,138.259995,133.242249,5955900
2016-07-19,138.940002,139.309998,138.399994,139.039993,133.993988,8073900
2016-07-20,138.229996,138.509995,137.910004,138.279999,133.261597,6942500
2016-07-21,137.039993,138.619995,136.990005,138.559998,133.531403,10398400
2016-07-22,137.929993,139.240005,137.869995,138.800003,133.762665,5811400
2016-07-25,138.940002,139.259995,138.589996,138.699997,133.666306,4243800
2016-07-26,139.520004,139.520004,138.460007,138.919998,133.878296,5243400
2016-07-27,139.550003,140.649994,139.399994,140.649994,135.545563,8061300
2016-07-28,139.800003,140.839996,139.710007,140.389999,135.295013,7336100
2016-07-29,140.449997,141.679993,140.220001,141.559998,136.422546,8766700
2016-08-01,139.779999,140.5,139.610001,139.770004,134.943436,9809300
2016-08-02,137.830002,139.259995,137.5,138.330002,133.553192,10051200
2016-08-03,138.600006,138.779999,137.910004,138.410004,133.630386,4930600
2016-08-04,139.460007,140.160004,139.270004,139.449997,134.634476,5313100
2016-08-05,139.050003,139.179993,137.820007,138,133.234543,7778600
2016-08-08,137.600006,138.539993,137.320007,138.259995,133.485565,5185200
2016-08-09,138.710007,139.720001,138.619995,139.619995,134.79863,5503200
2016-08-10,139.899994,140.509995,139.470001,140.160004,135.319962,5843500
2016-08-11,140.059998,140.080002,138.539993,138.910004,134.113113,7036700
2016-08-12,140.410004,140.860001,139.869995,140.080002,135.242706,7989600
2016-08-15,139.339996,139.630005,138.75,138.759995,133.968307,5108600
2016-08-16,138.979996,139.149994,138.229996,138.389999,133.611099,6182700
2016-08-17,138.630005,139.440002,138.5,139.220001,134.412415,5002000
2016-08-18,139.199997,139.759995,138.789993,139.440002,134.624832,3805200
2016-08-19,138.639999,139.050003,138.100006,138.710007,133.920059,5516300
2016-08-22,139.649994,140.139999,139.369995,139.880005,135.049637,5549700
2016-08-23,140.270004,140.589996,139.669998,140.029999,135.194473,6841400
2016-08-24,140.100006,140.190002,139.389999,139.699997,134.875854,6027800
2016-08-25,139.259995,139.779999,138.960007,139.169998,134.364166,5855500
2016-08-26,139.729996,140.690002,138.220001,138.360001,133.582153,12962500
2016-08-29,139.380005,140.350006,139.210007,140.210007,135.36821,6957200
2016-08-30,140.169998,140.259995,139.669998,139.669998,134.846893,5161800
2016-08-31,139.660004,140.169998,139.339996,139.869995,135.039963,7349700
2016-09-01,138.619995,140.100006,138.570007,139.770004,135.188934,9149100
2016-09-02,138.960007,139.050003,138.169998,138.630005,134.086304,8397000
2016-09-06,138.710007,140.080002,138.509995,139.639999,135.063171,8542600
2016-09-07,140.369995,140.419998,139.539993,139.539993,134.966446,5421800
2016-09-08,138.860001,139.270004,137.259995,137.789993,133.273834,13596100
2016-09-09,136.070007,136.119995,135.410004,135.520004,131.078232,13347700
2016-09-12,135.320007,135.830002,135.160004,135.589996,131.145905,9096600
2016-09-13,135.869995,136,133.360001,134.050003,129.656387,15645400
2016-09-14,134.050003,134.910004,134.050003,134.25,129.849869,7037700
2016-09-15,133.610001,134.050003,133.029999,133.669998,129.288879,9874500
2016-09-16,134.580002,134.809998,134.220001,134.75,130.33345,7507900
2016-09-19,134.520004,134.869995,134.25,134.309998,129.907883,7000300
2016-09-20,135.149994,135.580002,134.669998,134.779999,130.362488,6054800
2016-09-21,134.600006,135.889999,134.179993,135.869995,131.416733,10698100
2016-09-22,136.669998,137.289993,136.5,136.949997,132.461365,12426200
2016-09-23,137.029999,137.339996,136.710007,136.820007,132.335648,5928800
