Date,Open,High,Low,Close,Adj Close,Volume
2009-11-06,44.139999,44.540001,44,44.43,40.212082,12900
2009-11-09,44.91,44.91,44.02,44.290001,40.085361,13100
2009-11-10,44.299999,44.580002,44.09,44.099998,39.913399,13300
2009-11-11,44.439999,44.779999,44.110001,44.52,40.293533,17500
2009-11-12,44.68,45.080002,44.009998,44.040001,39.859104,12200
2009-11-13,44.119999,44.91,44,44.619999,40.384052,18200
2009-11-16,45.209999,46.830002,45,46.779999,42.338978,30500
2009-11-17,46.470001,47.689999,46.400002,46.970001,42.510941,23100
2009-11-18,47.380001,47.68,46.549999,47.419998,42.918221,16200
2009-11-19,47.450001,47.450001,45.790001,45.869999,41.515373,24200
2009-11-20,45.869999,46.279999,45.869999,46.049999,41.678276,15200
2009-11-23,46.560001,47,46.419998,46.549999,42.130829,10700
2009-11-24,47.299999,47.509998,46.869999,47.5,42.990635,24800
2009-11-25,47.599998,47.599998,46.580002,47,42.53809,15100
2009-11-27,46.09,46.439999,46.040001,46.049999,41.678276,9100
2009-11-30,46.619999,47.790001,46.490002,47.34,42.845821,49600
2009-12-01,47.689999,49,47.639999,48.990002,44.339176,67800
2009-12-02,49,50.799999,48.509998,50.68,45.86874,40100
2009-12-03,50.98,51.240002,49.970001,50.150002,45.389057,28400
2009-12-04,51.09,52.349998,50.66,52.349998,47.38018,31300
2009-12-07,52.779999,53.959999,52.470001,53.68,48.583931,32500
2009-12-08,53.290001,53.799999,52.5,53.799999,48.692547,17600
2009-12-09,53.799999,54.5,53.27,54.5,49.326088,29500
2009-12-10,54.889999,54.889999,53.360001,54.639999,49.452793,27400
2009-12-11,54.939999,55,53.52,55,49.778622,32200
2009-12-14,55,55.049999,54.720001,55,49.778622,19000
2009-12-15,55,55,54.400002,54.900002,49.688126,21800
2009-12-16,55.049999,55.279999,54.439999,54.939999,49.724316,19500
2009-12-17,54.5,54.98,53.560001,54.939999,49.724316,24400
2009-12-18,55,55,53.810001,54.41,49.244629,36600
2009-12-21,54.48,54.700001,52.869999,54.07,48.936913,17600
2009-12-22,53.869999,54.860001,53,54.849998,49.642872,20100
2009-12-23,54.900002,54.900002,53.619999,54.849998,49.642872,17700
2009-12-24,54.84,55,54.599998,54.950001,49.733372,5200
2009-12-28,54.790001,55.060001,54.580002,55.060001,49.832924,7700
2009-12-29,55.200001,55.200001,54.290001,55,49.778622,3600
2009-12-30,54.48,55,54.02,54.869999,49.660961,12800
2009-12-31,54.939999,54.98,53.889999,54.02,48.891659,8200
2010-01-04,53.279999,54.23,52.23,53.59,48.502468,30600
2010-01-05,53.41,53.41,52.009998,52.240002,47.280643,17800
2010-01-06,52.240002,52.860001,52.240002,52.450001,47.470715,8400
2010-01-07,52.68,52.68,50.849998,51.73,46.819054,20900
2010-01-08,51.5,52.040001,51.220001,51.5,46.610897,6300
2010-01-11,51.540001,51.630001,51,51.330002,46.457047,11600
2010-01-12,51,51.130001,50.52,50.75,45.932095,14000
