Date,BAC,S&P500
04/12/2002,34.424999,917.580017
05/12/2002,33.799999,906.549988
06/12/2002,34.119999,912.22998
09/12/2002,34.025002,892
10/12/2002,34.689999,904.450012
11/12/2002,34.75,904.960022
12/12/2002,34.77,901.580017
13/12/2002,34.125,889.47998
16/12/2002,35.139999,910.400024
17/12/2002,34.705002,902.98999
18/12/2002,34.235001,891.119995
19/12/2002,34.25,884.25
20/12/2002,35.150002,895.76001
23/12/2002,35.055,897.380005
24/12/2002,34.875,892.469971
26/12/2002,34.919998,889.659973
27/12/2002,34.584999,875.400024
30/12/2002,34.900002,879.390015
31/12/2002,34.785,879.820007
02/01/2003,35.34,909.030029
03/01/2003,35.119999,908.590027
06/01/2003,35.625,929.01001
07/01/2003,35.68,922.929993
08/01/2003,35.535,909.929993
09/01/2003,36,927.570007
10/01/2003,35.900002,927.570007
13/01/2003,36.189999,926.26001
14/01/2003,36.240002,931.659973
15/01/2003,35.724998,918.219971
16/01/2003,35.5,914.599976
17/01/2003,35.740002,901.780029
21/01/2003,35.365002,887.619995
22/01/2003,35.450001,878.359985
23/01/2003,35.799999,887.340027
24/01/2003,34.810001,861.400024
27/01/2003,34.310001,847.47998
28/01/2003,34.549999,858.539978
29/01/2003,34.794998,864.359985
30/01/2003,34.355,844.609985
31/01/2003,35.025002,855.700012
03/02/2003,35.014999,860.320007
04/02/2003,34.32,848.200012
05/02/2003,34.25,843.590027
06/02/2003,34.209999,838.150024
07/02/2003,33.970001,829.690002
10/02/2003,34.105,835.969971
11/02/2003,33.865002,829.200012
12/02/2003,33.599998,818.679993
13/02/2003,33.799999,817.369995
14/02/2003,34.435001,834.890015
18/02/2003,34.904999,851.169983
19/02/2003,34.875,845.130005
20/02/2003,34.73,837.099976
21/02/2003,35.18,848.169983
24/02/2003,34.334999,832.580017
25/02/2003,34.535,838.570007
26/02/2003,34.165001,827.549988
27/02/2003,34.599998,837.280029
28/02/2003,34.619999,841.150024
03/03/2003,34.290001,834.809998
04/03/2003,34.025002,821.98999
05/03/2003,34.169998,829.849976
06/03/2003,34.075001,822.099976
07/03/2003,34.494999,828.890015
10/03/2003,33.419998,807.47998
11/03/2003,32.814999,800.72998
12/03/2003,32.919998,804.190002
13/03/2003,33.799999,831.900024
14/03/2003,33.654999,833.27002
17/03/2003,34.560001,862.789978
18/03/2003,34.169998,866.450012
19/03/2003,34.75,874.02002
20/03/2003,34.759998,875.669983
21/03/2003,35.25,895.789978
